0.000000e+00, 1.000000e+00
3.205707e-02, 9.989843e-01
6.411414e-02, 9.959413e-01
9.617120e-02, 9.908835e-01
1.282283e-01, 9.838318e-01
1.602853e-01, 9.748150e-01
1.923424e-01, 9.638703e-01
2.243995e-01, 9.510426e-01
2.564565e-01, 9.363846e-01
2.885136e-01, 9.199566e-01
3.205707e-01, 9.018260e-01
3.526277e-01, 8.820674e-01
3.846848e-01, 8.607620e-01
4.167419e-01, 8.379973e-01
4.487990e-01, 8.138669e-01
4.808560e-01, 7.884698e-01
5.129131e-01, 7.619106e-01
5.449702e-01, 7.342982e-01
5.770272e-01, 7.057463e-01
6.090843e-01, 6.763720e-01
6.411414e-01, 6.462961e-01
6.731984e-01, 6.156423e-01
7.052555e-01, 5.845364e-01
7.373126e-01, 5.531062e-01
7.693696e-01, 5.214810e-01
8.014267e-01, 4.897907e-01
8.334838e-01, 4.581656e-01
8.655408e-01, 4.267354e-01
8.975979e-01, 3.956295e-01
9.296550e-01, 3.649757e-01
9.617120e-01, 3.348998e-01
9.937691e-01, 3.055255e-01
1.025826e+00, 2.769736e-01
1.057883e+00, 2.493612e-01
1.089940e+00, 2.228020e-01
1.121997e+00, 1.974049e-01
1.154054e+00, 1.732745e-01
1.186112e+00, 1.505098e-01
1.218169e+00, 1.292043e-01
1.250226e+00, 1.094458e-01
1.282283e+00, 9.131522e-02
1.314340e+00, 7.488721e-02
1.346397e+00, 6.022923e-02
1.378454e+00, 4.740153e-02
1.410511e+00, 3.645680e-02
1.442568e+00, 2.744004e-02
1.474625e+00, 2.038829e-02
1.506682e+00, 1.533052e-02
1.538739e+00, 1.228752e-02
1.570796e+00, 1.127179e-02
